                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8649,                 0.4813,                0.99431,                0.90567,                0.92975,                 0.9617,                0.63174,                 1.0931,                0.52823,                 1.0975,             0.00062733,             0.00062733,             0.00062733
                     36,                0.84258,                0.47048,                0.98853,                0.89721,                0.94346,                 0.9595,                0.63631,                 1.0819,                0.51498,                 1.0956,             0.00060375,             0.00060375,             0.00060375
                     37,                0.85997,                 0.4775,                0.99487,                  0.907,                0.94742,                0.95946,                0.63626,                 1.0935,                0.52092,                 1.1021,             0.00058017,             0.00058017,             0.00058017
                     38,                0.84878,                0.47281,                 0.9902,                0.88925,                0.94286,                0.95313,                0.64114,                 1.0451,                0.52292,                 1.0762,              0.0005566,              0.0005566,              0.0005566
                     39,                0.83633,                0.46782,                0.98773,                0.89688,                0.95031,                0.95582,                0.63154,                 1.0784,                0.50849,                 1.0935,             0.00053302,             0.00053302,             0.00053302
                     40,                0.84259,                0.46725,                0.98713,                0.89394,                0.94217,                0.95176,                0.63804,                 1.0872,                 0.5181,                 1.0951,             0.00050944,             0.00050944,             0.00050944
                     41,                0.83531,                0.46627,                0.98155,                0.89406,                0.94483,                0.96028,                0.64404,                 1.0711,                0.51366,                 1.0907,             0.00048586,             0.00048586,             0.00048586
                     42,                0.84155,                0.46182,                0.98512,                0.90592,                0.94649,                0.96473,                0.64669,                 1.0728,                0.50476,                 1.0909,             0.00046228,             0.00046228,             0.00046228
                     43,                0.83688,                0.46518,                0.98275,                0.90835,                0.95054,                0.95998,                0.64208,                 1.0708,                0.50749,                 1.0991,              0.0004387,              0.0004387,              0.0004387
                     44,                 0.8238,                0.45387,                0.97788,                0.90806,                0.95107,                0.96163,                0.64003,                  1.082,                0.50774,                 1.0911,             0.00041512,             0.00041512,             0.00041512
                     45,                0.82047,                 0.4525,                0.97897,                0.90568,                0.95004,                0.96322,                0.64976,                 1.0769,                0.50004,                 1.0864,             0.00039155,             0.00039155,             0.00039155
                     46,                0.81021,                0.44632,                0.97401,                0.90333,                0.94784,                0.96081,                0.64861,                 1.0694,                0.49999,                 1.0859,             0.00036797,             0.00036797,             0.00036797
                     47,                0.81024,                0.44325,                 0.9714,                0.90174,                0.94585,                0.96154,                0.64678,                  1.075,                0.50039,                 1.0893,             0.00034439,             0.00034439,             0.00034439
                     48,                0.80984,                0.44585,                0.96886,                0.90287,                0.94024,                0.95851,                0.64223,                 1.0716,                0.49937,                 1.0869,             0.00032081,             0.00032081,             0.00032081
